specObjID,psfMag_g,psfMag_r,psfMag_i,cModelMag_g,cModelMag_r,cModelMag_i,class
2527741293849765888,21.5148,20.46637,19.97213,21.47207,20.4644,19.97779,-1
2217015170830460928,18.61045,17.12765,15.62465,18.61606,17.1423,15.63063,-1
2461241733086734336,18.67167,18.30532,18.18589,18.6492,18.30166,18.16379,-1
2681981883851499520,18.2095,17.84191,17.73142,18.20506,17.84736,17.72103,-1
3711040942103437312,16.91445,16.38399,16.13572,16.92867,16.35313,16.14749,-1
439246405958133760,21.21966,20.19256,19.72309,21.16325,20.21369,19.70994,-1
4248169420256112640,22.15176,22.03399,21.80712,22.12134,21.87634,21.79154,-1
3704232766641119232,19.3374,18.96943,18.79207,19.34427,18.95648,18.77958,-1
8263095253180542976,20.439,20.62359,20.15849,20.41431,20.59244,20.12471,-1
2630213845091641344,16.96725,16.24452,15.9725,16.96282,16.23272,15.98309,-1
7103408723943157760,21.74912,21.77685,21.61249,21.714,21.79973,21.47991,-1
4338200181587243008,19.61751,19.32817,19.34104,19.55547,19.30783,19.27469,-1
372792205904996352,17.22064,17.17867,17.26311,17.21772,17.20478,17.24721,-1
2590715814009137152,18.86887,18.23095,17.96291,18.84923,18.20232,17.94912,-1
1476068018399242240,19.37978,19.39273,19.22076,19.37445,19.39592,19.24972,-1
4141232018313375744,20.43681,20.46813,20.5282,20.43615,20.4349,20.46029,-1
1620314876985501696,18.91219,18.62382,18.21986,18.80784,18.49306,18.02545,-1
4976491980596637696,19.33344,18.95403,18.85104,19.3025,18.95187,18.8587,-1
3160543774514374656,16.83661,16.59169,16.51163,16.82811,16.58505,16.50891,-1
5951588375869452288,18.21359,17.87428,17.7432,18.20631,17.86646,17.73676,-1
8458002106459813888,20.15682,19.54521,19.3917,20.11231,19.51004,19.36396,-1
1276874992323160064,16.7038,16.19877,15.99944,16.69476,16.19331,16.01863,-1
8338661664606582784,21.48871,21.67075,21.59326,21.50656,21.59661,21.62003,-1
6442436201391255552,19.55503,19.4169,19.21142,19.54415,19.3888,19.20716,-1
3497201870148050944,19.20227,18.98906,19.01513,19.14932,18.96885,19.01612,-1
1243114492288591872,19.95081,19.86135,19.56602,19.92209,19.8547,19.58675,-1
3145781183388870656,21.07206,19.87205,19.65127,21.08902,19.88778,19.6642,-1
7645037496711704576,20.13446,19.76672,19.83621,20.11871,19.73382,19.75224,-1
5031884276556820480,21.36548,21.18753,21.38172,21.2177,21.06059,21.40977,-1
4701921933536194560,21.52381,21.4767,21.32399,21.48668,21.4843,21.25447,-1
2710176378967320576,18.64508,17.94426,17.66802,18.63252,17.95167,17.65955,-1
4331598169386971136,21.8317,21.45943,21.68937,21.78019,21.4873,21.64515,-1
3859691067062460416,18.15581,17.38068,17.06292,18.16861,17.37249,17.06591,-1
1450179191919110144,15.58498,15.8027,15.95937,15.56585,15.79776,15.97349,-1
1681133261989898240,19.60259,19.18801,19.09498,19.58298,19.21503,19.08815,-1
7527968644723830784,18.41926,17.20906,16.80498,18.41915,17.22262,16.7942,-1
651931269659125760,19.5732,19.08789,19.05015,19.53807,19.08315,19.03065,-1
3500529544086003712,18.22594,17.78654,17.63911,18.22396,17.79273,17.62868,-1
7642750512492376064,21.0726,20.71782,21.18402,21.09822,20.73775,21.21619,-1
5985299122969309184,23.52593,22.04408,20.77503,23.40286,21.84234,19.59605,-1
2757387492507281408,17.92913,17.33675,17.09921,17.92674,17.3386,17.09115,-1
3797692354496929792,19.28097,17.65496,16.38564,19.23652,17.65065,16.38697,-1
1901715364702611456,19.42401,19.40951,19.2404,19.40403,19.42256,19.24607,-1
4331487668468379648,20.60306,20.51787,20.48488,20.5987,20.4591,20.49561,-1
