specObjID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,z
4742538988635222016,21.79637,21.41069,21.33437,21.4544,20.83319,21.38655,21.41915,21.24825,21.30239,19.74393,2.389549
7043742623232356352,20.51422,20.27027,20.04784,20.06993,19.82202,20.50152,20.2435,20.00143,20.04892,19.69693,0.8893242
5673502643667529728,21.51019,21.00018,21.02729,21.05419,20.71723,21.34686,20.99811,21.0173,20.94931,20.60002,2.49573
1468317289882347520,18.53914,18.33526,18.16307,18.14674,18.11658,18.50319,18.31768,18.14185,18.14186,18.1303,0.9665651
771313766036957184,19.96825,19.81536,19.75381,19.55558,19.56662,19.88925,19.78549,19.76049,19.52796,19.57133,1.648302
7210319734469488640,20.22842,20.01869,19.74922,19.94136,19.83216,20.12115,20.03032,19.76066,19.95674,19.58239,0.98461
6726399378049396736,22.53138,21.40526,21.4257,21.18162,21.13663,22.64643,21.41912,21.29524,21.02588,21.07858,1.274376
6797165592157286400,19.07578,18.70361,18.23555,18.00476,17.74234,19.08402,18.69489,18.25104,17.99565,17.73516,2.078424
5656616887703498752,19.90811,19.47607,19.38607,19.36832,19.02793,19.90584,19.42937,19.39218,19.38015,18.99293,2.46787
7633706207220002816,22.14615,22.42157,22.37538,22.14441,22.03802,21.99775,22.33173,22.38877,22.14535,21.98697,0.562954
6534735259706781696,22.37638,20.38326,20.02596,19.9604,19.89018,22.23573,20.38459,19.97205,19.9236,19.83149,2.942918
4735787163009609728,24.92292,22.38924,21.33382,21.30922,21.51406,20.7269,22.35312,21.31702,21.2803,20.76567,3.689192
881666527483422720,24.87728,24.16659,21.17873,20.07641,19.60768,25.18913,21.60891,21.1415,20.08322,19.62045,4.587531
5590125569049817088,23.48353,20.76204,20.3381,20.32123,20.47075,23.54176,20.76143,20.34194,20.30532,20.05029,3.148669
7514335800504020992,21.16392,20.76932,20.58362,20.68405,20.30816,21.06192,20.74244,20.56522,20.64596,20.2988,2.189931
7661962829155201024,21.42324,20.50949,20.48645,20.44616,20.00207,21.35275,20.43188,20.41913,20.45066,19.81702,2.300628
7982838258932051968,20.40438,20.23797,19.94524,19.9082,19.59164,20.34945,20.21034,19.94703,19.85603,19.58249,0.9501376
836708045722511360,19.69409,19.63417,19.16519,19.18601,19.26383,19.69036,19.60934,19.17041,19.18786,19.21978,1.207973
4548637366948655104,20.37507,19.76058,19.61834,19.57003,19.51769,20.35136,19.73268,19.61439,19.5452,19.50272,2.669851
8264115051456821248,21.97941,20.962,20.14791,19.8714,19.63886,21.22077,20.91089,20.09571,19.72061,19.29887,0.9619872
6359345556498345984,21.29814,20.87211,20.54607,20.50725,20.39162,21.37214,20.78657,20.55882,20.50811,20.45439,1.444424
5194006986631081984,20.72124,20.37151,20.27831,20.22293,19.95611,20.63608,20.29815,20.2474,20.22704,19.94886,2.211358
7674163010210557952,21.10851,20.51679,20.33529,20.22408,19.99757,21.11076,20.48055,20.34222,20.23747,20.02401,2.272931
7244055500525596672,19.95117,20.09917,19.7072,19.77924,19.79519,19.89869,20.06643,19.68049,19.76922,19.61814,1.318954
8264218680561956864,22.59215,21.76568,21.52137,21.27349,20.61845,22.54846,21.7614,21.5428,20.96037,20.66507,2.565796
4771783249289211904,21.48632,21.19048,21.05584,21.06706,20.71214,21.45125,21.14604,21.0688,21.08385,20.68005,2.576161
611522012929615872,21.77898,20.32067,20.16959,19.94643,19.44372,20.69954,20.27295,20.16118,19.9121,19.42519,2.513201
1615686207793031168,19.05927,18.54571,18.42795,18.38897,18.19098,19.06648,18.50885,18.42363,18.39876,18.17631,2.445388
4848311734647844864,21.19693,20.81937,20.10127,19.83998,19.5131,21.22071,20.81018,20.06211,19.72679,19.01569,0.9959111
6935658978723164160,20.12441,19.53262,19.34662,19.39414,19.20066,20.14342,19.50051,19.3111,19.32873,19.1027,0.6920846
7846628555450150912,20.77029,20.47552,20.37255,20.03803,19.94121,20.73544,20.43618,20.38405,19.95803,19.79408,1.741609
8037931761416204288,22.59422,22.26821,22.05466,22.21244,21.111,22.23627,22.1358,21.98552,22.2492,20.43763,1.249311
989841155019532288,18.78906,18.60467,18.37689,18.0316,17.8448,18.7697,18.58659,18.37341,18.00931,17.8656,1.914406
2198988677273643008,21.14744,19.11679,18.82068,18.72082,18.59707,21.00779,19.12309,18.82227,18.6966,18.60888,3.340639
5065495792379949056,21.93548,21.33353,21.20966,21.38407,21.17297,21.95198,21.31577,21.18399,21.39804,20.75148,2.597514
1061824257329227776,20.51708,20.35004,20.06758,20.08764,20.0013,20.38204,20.30993,20.02979,20.04199,19.93167,1.013401
4352761020029792256,20.7595,19.74852,19.75247,19.82331,19.49118,20.77025,19.72962,19.7455,19.80426,19.39811,2.70588
8263045226206787584,19.57235,19.17005,18.83975,18.75708,18.79521,19.57805,19.12655,18.85005,18.74009,18.70939,1.382474
7425538144500117504,20.58879,19.82954,19.71711,19.75562,19.62413,20.55323,19.81336,19.70789,19.76802,19.63036,2.566313
781388316305025024,20.36516,20.26421,19.70226,19.49855,18.94887,20.37888,20.1164,19.40449,19.03484,18.64391,0.2906835
8263207404104775680,18.53328,18.1396,18.04943,18.10658,17.97268,18.49592,18.11098,18.02315,18.04026,17.91732,0.7200134
7606789885160779776,21.66145,21.0491,20.98106,20.90161,20.6948,21.74137,20.94858,20.91775,20.80312,20.70215,2.309875
6824157777515704320,24.45432,19.95936,18.86988,18.76802,18.58743,24.78317,19.96964,18.88131,18.76426,18.54826,3.652828
964982845527320576,19.99184,19.7068,19.50254,19.16857,19.04751,19.96207,19.66856,19.5062,19.15546,19.05116,1.647452
8263136758838521856,23.62142,20.5685,19.31208,19.14361,19.02301,22.0383,20.53467,19.31049,19.10432,18.94846,3.742457
3320442728965236736,22.85229,22.35544,20.82884,20.33021,20.27881,20.86685,22.20406,20.59645,20.07331,19.96937,0.39643
5796303249083133952,22.30346,21.50219,21.22022,21.22083,20.43818,21.54,21.46797,21.17586,21.13457,20.49729,2.657932
4266070019798659072,22.08086,21.76891,21.71827,21.7934,21.04588,22.07091,21.78028,21.69305,21.70799,20.71176,0.7232772
4106304392574726144,20.24591,20.32122,19.96663,19.91386,20.38047,20.19401,20.29768,19.96439,19.91555,20.12434,1.22397
