specObjID,psfMag_g,psfMag_r,psfMag_i,cModelMag_g,cModelMag_r,cModelMag_i,class
5491179692797652992,23.99438,21.87641,20.72495,24.14808,21.23978,19.9916,1
5858137306007531520,23.04332,21.54621,20.47629,23.01615,20.9326,19.82854,1
6737544852928131072,22.59787,20.88583,19.85401,21.60173,19.68602,18.9693,1
4319219587805278208,22.1849,20.66861,19.91573,20.91358,19.73804,18.87807,1
8316094737598314496,22.33686,20.706,20.04812,22.05732,20.2856,19.69699,1
7107973071168532480,23.58215,21.59671,20.61153,23.59344,21.18147,19.6897,1
5829054677237035008,23.16344,21.55513,20.64742,20.93631,20.32109,19.47007,1
2808032920600602624,19.19146,18.35761,18.00468,18.5319,17.60471,17.1866,1
6057571122194083840,22.85646,21.79112,20.89235,22.11742,21.44504,19.8776,1
7527788874572689408,22.95893,21.4036,20.38624,22.89481,20.85068,19.79861,1
7479530209667641344,22.3315,20.4488,19.81618,21.23915,19.47586,18.90811,1
4342773050514272256,23.2277,21.93316,20.65771,23.0842,21.44716,19.90445,1
5310923832981909504,21.79061,20.18865,19.5584,20.74752,19.16688,18.55365,1
1498683048454023168,18.69748,17.82772,17.45001,17.45618,16.59058,16.17047,1
5764703004570349568,22.98143,21.13715,20.28926,21.95429,20.43725,19.68747,1
5859404493192097792,23.15122,21.67123,20.53103,22.18583,21.21878,19.9321,1
5036329872348868608,23.92437,21.96049,20.70573,23.66358,21.15994,19.99946,1
6494361462797692928,22.98595,21.98181,20.86917,22.32893,20.49644,19.62342,1
6604530329179582464,22.99268,21.50462,20.46088,22.67191,20.5795,19.68553,1
7839673324871020544,21.98265,21.08252,20.33781,21.73765,20.51362,19.6253,1
7990540887774654464,22.72705,21.06924,19.95468,22.58369,20.28652,19.28953,1
4261668399941873664,22.46146,21.88936,20.96835,21.82071,20.65019,19.87324,1
5622841262958374912,22.86998,21.24057,20.32656,21.66033,20.74917,19.77343,1
5112960889918255104,22.34038,21.45908,20.71709,21.68532,20.69999,19.54863,1
1365859848251533312,19.81214,18.59768,18.12973,18.62358,17.34817,16.88915,1
5782714103555092480,23.81596,22.14228,21.00861,22.06491,21.11773,20.19942,1
5228714725982531584,22.6454,21.1887,20.03238,20.48069,20.14658,18.79443,1
6539487074436444160,23.79691,21.74929,20.87687,23.19767,20.56279,19.39955,1
4802053354996559872,19.79837,18.54529,18.15314,18.46531,17.25484,16.77348,1
740915292229625856,20.47836,19.91122,19.76409,18.42304,17.7732,17.4912,1
