specObjID,psfMag_g,psfMag_r,psfMag_i,cModelMag_g,cModelMag_r,cModelMag_i,class
4821232960987131904,23.27182,21.52998,20.6138,22.57656,20.77573,19.58475,1
639670064332695552,22.0767,20.5505,19.77146,21.05599,19.5257,18.75955,1
604706965150525440,19.67976,18.78916,18.36319,18.67496,17.66784,17.26188,1
7263232082758529024,21.77155,20.05187,19.49837,20.81288,19.07005,18.63862,1
7999578599701803008,23.54477,21.72736,20.49713,22.60455,20.9888,19.66719,1
6753405303964495872,23.37978,22.37057,20.88664,23.0583,21.11182,19.92498,1
1973779559266412544,19.28776,19.02224,18.85019,17.12059,16.77649,16.56448,1
8251723553633398784,24.82743,22.40679,20.68674,24.8033,22.2146,20.37747,1
2373445165525264384,21.94265,20.1825,19.42755,21.45638,19.09916,18.2761,1
5348143674092613632,22.49807,20.9615,20.08024,21.63175,20.01637,19.34362,1
6710447934590873600,23.93096,22.20872,20.96785,23.30287,21.23371,19.71025,1
8362206330819899392,23.2504,21.58839,20.52257,22.58721,21.31149,20.33443,1
6960393317423706112,23.11352,21.72909,20.83305,22.94537,20.76965,19.81923,1
7078634798394830848,23.17655,21.80605,20.6222,22.26588,21.33677,19.94176,1
6756742321503137792,22.62644,21.19893,20.30634,21.96231,20.47366,19.57143,1
1551617666333042688,18.50585,18.33797,18.30587,15.01865,14.45672,14.15346,1
573132570435282944,19.40342,18.51034,18.11282,17.69508,17.05883,16.71997,1
4699639072133148672,23.12307,21.8926,20.73907,21.82749,20.6806,19.77468,1
5052046845959401472,22.51626,21.0199,20.39255,21.51356,20.21568,19.24532,1
7325194514242138112,21.75944,20.09814,19.55728,20.76031,19.05997,18.32178,1
6767878725545160704,22.83058,21.21675,20.2791,22.03109,20.55855,19.21696,1
8060536621558853632,23.88529,21.89834,20.76682,19.88377,20.49769,19.83722,1
5274976123519430656,22.44918,21.37604,20.406,21.59924,20.71463,19.78826,1
7039304993044361216,20.98409,19.33278,18.79125,20.63069,18.82845,18.15805,1
1496477153267574784,20.59583,19.20729,18.6123,19.37241,17.98974,17.47755,1
994193023132788736,19.65294,19.64229,19.56218,14.44234,14.20774,14.16157,1
7347886234863857664,23.73132,21.96454,20.61581,23.23787,21.19197,20.03668,1
4977664884206137344,22.81749,21.39188,20.43591,21.41082,20.60957,19.94056,1
6636069820289445888,23.38768,21.92039,20.68359,21.56253,20.79641,19.28403,1
2827225166042392576,19.73612,19.21625,19.02346,17.35721,16.86355,16.43752,1
2825051436553889792,20.47355,19.06747,18.49835,18.80888,17.68022,17.16514,1
1434562282943178752,19.57618,18.84352,18.45771,18.39504,17.5916,17.23597,1
8302402244117721088,22.79476,21.39396,20.66241,22.20116,20.86776,20.43084,1
2913970591058913280,20.07723,19.15314,18.5811,18.57748,17.58681,17.17223,1
321009324056930304,20.98344,19.35082,18.72438,20.40997,18.79783,18.05071,1
1802698294267242496,21.27706,18.7958,18.25292,21.69122,17.3976,16.6695,1
5300770667095584768,23.88104,21.9557,20.59499,23.48183,20.8636,19.7334,1
7244294094548824064,21.88693,20.31924,19.42784,21.2599,19.41815,18.64561,1
7045906460689756160,21.31357,19.589,18.98074,20.25311,18.65965,17.96385,1
6533667908257247232,23.45991,21.46568,20.59204,23.11702,20.64302,19.61911,1
5145426165406298112,22.49753,20.968,19.99955,22.09198,20.23064,19.15996,1
5594733352772628480,23.54016,21.65281,20.43768,22.66934,21.17167,19.93037,1
5504684169521459200,22.30705,20.62687,20.0147,21.18728,19.33805,18.73309,1
2936422898409170944,19.104,18.26922,17.93196,17.91437,17.00588,16.50784,1
5995541074201473024,22.49927,20.98287,20.17096,22.12876,20.25354,19.52463,1
4941698204242210816,23.43171,21.94503,20.86768,22.07706,20.54549,19.87731,1
566439561987647488,20.1195,19.26819,18.93469,18.11026,17.40293,17.10109,1
951528947496019968,19.94833,19.14083,18.70784,17.69314,17.1553,16.88532,1
6634043970048159744,22.44506,20.76931,20.01336,21.67638,19.8873,19.12639,1
1118116509495879680,19.27258,18.1904,17.7195,17.7625,16.61093,16.10367,1
4541940517005094912,22.6255,20.88628,20.26765,21.92415,20.35461,19.71045,1
5951508386398531584,23.03271,21.7873,20.70361,22.34051,20.58883,19.77814,1
5204052675255791616,23.89583,21.67259,20.49065,22.89849,21.50618,19.82682,1
5855891000362987520,22.88936,21.01612,19.99457,22.2828,20.04034,19.04055,1
5295346225020334080,22.81721,21.35719,20.53027,22.03892,20.16208,19.51655,1
8347653469742231552,21.63569,20.30011,19.73201,21.29444,19.65963,19.0799,1
6797279116229537792,22.08455,20.33271,19.59177,20.29168,19.12719,18.27139,1
2259754288840468480,18.89247,17.93622,17.51945,17.81726,16.84612,16.41383,1
7536885683974762496,21.52658,19.87581,19.13784,20.77651,19.12194,18.50325,1
599139862330763264,19.9515,19.23649,18.83965,18.31369,17.47814,17.03682,1
8051326287446994944,21.92262,20.21428,19.6486,21.00955,19.16326,18.59407,1
4454306691844599808,23.08355,21.6926,20.55355,22.69247,21.07006,19.73882,1
4537634004820226048,23.6273,22.08233,20.97397,21.43654,21.60418,19.88968,1
6917778446542893056,23.39565,21.46105,20.35851,22.87721,20.91628,19.63448,1
1357949681656686592,23.86349,19.96316,18.99441,24.02809,19.6174,17.84621,1
5148968791267012608,22.62195,20.87655,20.07322,22.46504,20.50414,19.68064,1
6132817849339277312,23.74546,22.04761,20.58324,22.93363,20.95708,19.69791,1
2385936997358266368,20.12359,19.48491,19.20865,18.14013,17.60114,17.28134,1
5188285959162753024,22.24382,20.52058,19.93721,20.92346,19.27815,18.75957,1
5629563676647944192,23.56899,21.59732,20.51875,23.03835,20.76283,19.69894,1
4580185926277984256,23.45392,21.75735,20.54802,23.5029,20.67518,19.74904,1
6426765147054469120,22.87728,21.28864,20.24833,22.03488,20.31239,18.9928,1
794932650124011520,19.30031,19.0524,18.86883,18.26704,17.8383,17.5299,1
7228524073176461312,23.01922,21.19547,20.13785,22.34849,20.25468,19.09624,1
4897691900893130752,23.04048,21.39026,20.53923,22.16359,20.27433,19.4246,1
8063783204551323648,20.12375,18.86801,18.32222,19.2461,17.92864,17.45234,1
6445854868271460352,21.89501,21.30426,19.78547,20.9934,20.21998,19.21623,1
1218340289765206016,20.16252,19.83002,19.45596,18.75267,18.26732,17.91915,1
1684431521156458496,21.20634,21.06998,20.85828,19.22404,18.90225,18.65096,1
4836875712781283328,22.43836,20.85392,20.09271,21.9914,20.48203,19.68167,1
1060753613367830528,19.13842,18.25569,17.88473,18.33127,17.52053,17.09357,1
7072945381365706752,22.47825,20.94013,20.23241,21.51663,20.19171,19.41032,1
4317979068307533824,22.98784,21.27457,20.32024,22.46012,20.71392,19.75415,1
596789656780040192,18.67219,17.92531,17.59211,17.51368,16.63198,16.21766,1
5050927263580352512,21.97085,20.34194,19.69724,20.88725,19.14731,18.47563,1
5997905848818135040,21.02134,19.56934,19.02233,19.79994,18.4081,17.86031,1
930075550049921024,19.72193,18.85536,18.36648,18.49494,17.58242,17.13389,1
8056061059914199040,22.55006,21.29404,20.26245,20.97411,19.54307,19.34133,1
5637453222249164800,22.57323,21.16807,20.41107,21.3035,19.97522,19.27224,1
2922943980884748288,19.66057,18.70191,18.25511,18.29025,17.24298,16.80285,1
1836500053200496640,21.30031,20.45151,20.04599,20.4828,19.61825,19.20127,1
755625659304273920,21.52754,20.38227,19.70742,20.00162,18.7327,18.2083,1
8176476825112473600,23.84757,21.72245,20.64831,20.96928,20.44776,18.93961,1
5949451743875756032,23.5699,21.93727,20.6939,23.50422,20.89984,19.81417,1
5766874264251330560,21.03156,19.46393,18.91836,20.14256,18.63578,18.03114,1
5312239678085853184,22.75745,21.069,20.07485,21.41697,20.19938,19.31899,1
1110277536866134016,22.04158,20.20852,19.5571,21.53055,19.21001,18.49063,1
1628079904270608384,20.97926,20.85571,20.66419,18.04737,17.67687,17.43878,1
5697156161783656448,22.43017,20.84499,19.8574,21.4839,19.89965,18.80391,1
4558836711450931200,21.60668,19.94803,19.33385,20.81386,19.28214,18.57711,1
6806137331625160704,22.82285,21.11832,20.33264,22.50766,20.60662,19.58034,1
5098331882291654656,23.01321,21.66442,20.71234,23.05871,20.96047,19.89537,1
5705116618754551808,22.73758,20.66887,19.77328,21.16341,19.62657,18.72095,1
2671885061845968896,19.25403,18.41327,18.00933,17.99439,16.97344,16.57274,1
5707270294872977408,21.97328,20.24082,19.54399,20.67386,18.94271,18.21199,1
1144047942303246336,18.41236,17.79893,17.46133,17.42248,16.60612,16.23561,1
4450714856630972416,22.45617,20.76434,19.95897,21.71064,20.37102,19.59404,1
5239074319506272256,23.58433,21.28681,20.21951,23.44389,19.83306,19.15913,1
5959656862508576768,22.49342,21.20843,20.09913,21.45073,20.17932,19.32539,1
7192392471904186368,22.37152,20.61735,19.91269,21.80676,19.92622,19.17228,1
873858070680201216,19.60316,19.18165,19.09542,17.20661,16.76823,16.53715,1
4727924005771341824,23.10531,21.40269,20.48007,22.35632,20.77971,19.66707,1
7228411922990428160,22.76322,21.37837,20.24369,21.57914,20.80276,19.66612,1
1514368682141181952,19.00983,18.02827,17.57762,17.83706,16.75162,16.35091,1
4906923130289319936,23.06674,22.0183,20.84822,22.66232,21.09984,19.66526,1
2932999019368048640,18.57207,17.70192,17.32638,17.10394,16.24467,15.87352,1
5506891989323018240,22.01248,20.5134,19.83743,21.16679,19.54627,18.86582,1
2944400954931308544,18.59902,17.49667,17.28593,16.07418,15.1461,14.70536,1
4480112503636553728,22.16671,20.34919,19.70178,21.15506,19.39981,18.65897,1
6531498847633076224,21.68219,19.92935,19.35822,21.20079,19.36167,18.74311,1
7861126716176658432,21.75539,19.91807,19.31307,21.21135,18.97748,18.22893,1
7246334513268846592,22.2925,21.23465,20.34888,22.24741,20.77973,19.94481,1
4280873298944520192,23.12393,21.13735,20.3047,21.97057,18.83683,18.56845,1
4316911167622279168,23.25126,21.74755,20.63212,22.59747,21.33722,19.88246,1
4462109925917257728,23.10836,21.62337,20.66993,21.79276,21.05719,19.88417,1
1790279582943832064,19.40994,18.83663,18.37778,17.65648,16.87588,16.44848,1
5072200339928313856,22.52092,21.70394,20.8202,22.02944,21.20954,19.69144,1
5390979551944437760,23.25344,21.82194,20.64008,22.95626,20.79352,19.7338,1
1311724289233283072,19.14222,18.38104,17.90591,18.00469,17.2032,16.80958,1
4955138084137791488,23.35299,22.15303,20.44418,19.41768,20.2262,19.47535,1
2025651497110366208,20.02219,19.63677,19.38605,17.93305,17.38719,17.06555,1
7512203572076539904,22.77721,21.22499,20.4467,22.0908,20.20033,19.55598,1
6816344922984738816,20.69766,19.31591,18.67711,19.65241,18.26591,17.75043,1
2185526257372915712,20.71943,19.29128,18.79093,19.93002,18.4683,17.9571,1
1943383831067256832,19.35192,18.6267,18.2619,18.22688,17.41608,17.06145,1
4160453680657264640,23.41408,21.70592,20.47178,22.48542,21.06172,19.92159,1
964966352852903936,19.64982,18.83099,18.43666,17.75443,16.80238,16.39861,1
1093402785531062272,22.34763,20.88198,20.03456,21.10966,19.59133,18.94004,1
5124096738433101824,22.77348,21.36952,20.45305,21.72528,19.48769,19.17112,1
1172206434503387136,18.59139,18.00461,17.64044,17.50761,16.80816,16.37588,1
6888336548002721792,21.99787,20.61775,19.93839,20.25557,18.71473,17.62531,1
6449190506790055936,21.49022,21.12167,20.85444,21.39299,20.94506,20.86532,1
5492182447452516352,22.98298,22.1031,21.2341,20.40849,20.88722,19.25643,1
5663312638236094464,23.03634,21.5086,20.59855,23.00654,21.36042,19.93139,1
7520126103362138112,22.80288,21.25181,20.33787,21.54517,20.44147,19.5261,1
5150092217843118080,22.94891,21.58537,21.22227,21.57242,19.92076,19.27128,1
5690481851492921344,19.45841,18.39857,18.01325,18.10791,16.99688,16.51401,1
6183638926914940928,22.40907,20.94554,20.01773,21.29821,20.20078,19.28028,1
707226529775511552,20.79732,19.29202,18.6843,19.11384,17.65678,17.12615,1
5221940360536322048,19.3035,18.13248,17.65706,17.89436,16.83045,16.38718,1
700411756220016640,19.21263,18.43175,18.12916,18.35997,17.68414,17.25317,1
1127140475631855616,18.71669,17.84447,17.38566,17.30389,16.29757,15.93737,1
1037076174800447488,19.89965,19.1763,18.6707,17.84535,16.83112,16.36311,1
7076511641894580224,22.2201,20.38499,19.54941,20.83523,19.20002,18.32936,1
6512358269322457088,23.60732,21.8436,20.51664,23.02658,21.1409,19.68328,1
6743099585252225024,23.57612,21.49498,20.58795,21.21255,19.88272,19.06698,1
8034545265636208640,22.6944,20.86503,19.98612,21.85009,20.33538,19.3308,1
958248337847379968,19.43981,18.56422,18.08297,18.45184,17.41833,16.99208,1
1566127092557441024,19.78928,18.6377,18.23814,18.51346,17.51887,17.09331,1
3133433667590842368,19.29944,18.33021,18.00308,17.94768,16.96747,16.58764,1
6050810499519148032,21.69951,20.22619,19.69037,19.74995,18.49838,17.93001,1
7561638989502541824,21.60267,19.92039,19.3738,20.31942,18.86532,18.24959,1
6533792702826999808,22.84816,21.1111,19.94537,21.35893,20.04508,19.02965,1
434705970812184576,18.64049,18.02565,17.70037,17.25289,16.49595,16.12142,1
2840665882634512384,19.45653,18.60698,18.23093,18.40828,17.41974,16.99077,1
2048174184680417280,18.95767,18.0912,17.71225,17.59554,16.68136,16.28383,1
514690495826388992,18.60308,18.28515,17.8655,16.69519,16.23449,15.88235,1
4537524328535355392,23.01924,21.76153,20.84691,22.56668,21.30754,19.7435,1
7456897312246919168,22.71274,21.36032,20.3143,21.85867,20.37883,19.40898,1
345706549760518144,20.66166,19.2011,18.55657,19.11971,17.67011,17.14343,1
726308556088829952,20.60802,19.03922,18.49053,19.84417,18.10965,17.60473,1
4715276052044902400,23.4551,21.58572,20.39203,22.94201,20.35856,19.68086,1
4731206047376273408,22.59182,20.87662,20.02547,21.77956,19.92397,19.03058,1
2355480794576742400,18.33306,17.43451,16.98687,16.9948,16.00972,15.58897,1
4611814753580019712,22.81722,21.12811,20.28371,22.85866,20.55915,19.56187,1
8069508086702469120,23.37179,21.35081,20.268,20.98309,20.33825,19.29756,1
