specObjID,fa,fb,fc,fd,fe,ff,fg,z
7686739773696438272,0.9950347,-0.9175377,1.003112,0.0449877961569707,0.9987624,1.011344,0.08336449,2.69856
5987579785432985600,1.002563,-2.706678,0.9903445,0.0446636712773338,0.9703926,0.9774081,0.03619385,1.789717
7172137267506114560,0.9981885,-0.03559494,0.9991431,0.126676494857571,0.9772861,1.024958,0.03347969,1.014788
5480932522458804224,1.002419,-0.4483128,0.9961219,0.0473926677142247,0.9962047,1.010741,0.0230217,2.601586
4415879854546415616,1.000084,-1.945707,0.9873546,0.151347190013857,0.9980022,1.003076,-0.03032875,1.444269
851318636395128832,1.002297,-0.3036137,0.9868585,0.0194877311769095,0.9961609,1.006521,0.02073479,1.75887
7504227439917854720,1.004046,-0.5043411,0.9900201,0.0436063265950446,0.9958162,1.024498,0.01072121,2.128829
6067567606582931456,1.002512,-0.738245,0.9991019,0.0863728432817326,1.004575,1.011067,-0.0008506775,2.611127
5795034131646312448,1.0034,-0.1164684,0.9819392,0.0931162299413145,0.9871456,1.011365,0.01915359,1.508285
821990811129374720,1.000315,-0.6174755,0.9946604,0.0167565951999025,1.000783,1.013968,0.02804375,2.255705
4732360259741085696,1.007792,-1.350784,0.9923055,0.0776654553875582,0.9865215,1.026825,0.05535889,0.7453517
8516552750359312384,0.9450977,-2.123547,0.9126709,0.517461009230427,1.014212,1.092663,1.00905,3.832785
2578412004268075008,1.003402,-0.2519531,0.9964615,0.0355581091180911,0.991475,1.00107,0.02261925,1.103142
4489141143250595840,1.018016,-0.6525097,1.004052,0.105216941519281,0.9983881,1.037564,-0.04016685,0.8817154
7248649809946144768,1.012214,-1.784992,0.9873093,0.126061630569285,1.010864,1.030058,0.0403614,2.268208
6931046253388820480,0.9963591,-1.429739,0.9673088,0.0139732028362638,0.9672665,1.025721,0.08631516,0.4741687
6620443286207918080,1.008233,-0.6039219,0.9906186,0.0983402617162502,0.9983298,1.030965,0.09361649,0.8491247
1396120328400300032,0.9860181,-0.2447376,0.9797531,0.01687659122888,0.9686905,1.044836,0.2285137,0.2895041
7233945490034454528,1.001754,-0.5800266,1.00015,0.0189747535439835,1.001172,1.005055,0.03964043,2.584983
4566894203611312128,0.9923393,-0.41576,0.98916,0.140150297677887,0.9978501,1.013636,0.3697968,2.622585
5682464481574842368,0.9980218,-0.2620831,0.9908813,0.0606698726781969,1.00457,1.007018,0.0689106,1.765032
5858185409641246720,1.004316,-0.1856117,0.9917344,0.0138717494449976,0.9997085,0.9957116,-0.01048279,1.825631
4938203681428008960,1.005597,-0.523035,0.9962917,0.016682685432683,0.9967543,1.004202,-0.02397919,2.670486
6125006919154987008,1.009939,-1.148685,1.004776,0.0518514900361459,1.001267,1.031108,0.02944183,2.337173
3091735508842211328,1.000814,-0.3644676,0.9976465,0.0203460750298727,0.9985188,1.013509,0.008724213,2.170698
1885954145244964864,0.9927673,-0.2041626,0.9862839,0.0143964270010311,1.009096,1.00649,0.1138287,0.524189
2255308962792499200,1.005727,-0.4108601,0.9959506,0.0288919376350188,1.001607,1.001167,-0.007715225,2.332297
384095448941488128,0.9841096,-0.7236156,0.997956,0.027062803651915,0.9596078,1.061505,0.297966,0.3502872
6188010583100157952,1.003536,-0.5346394,0.9999689,0.0449261191562801,1.009501,1.017493,0.03352547,2.32802
2098745651658516480,1.004407,-3.443213,0.9982641,0.0403241017272358,0.9834543,1.002552,-0.0001907349,3.177949
3094042284270839808,1.005206,-0.1653194,0.9903426,0.0196349098209657,1.000267,1.003684,-0.005867004,1.867494
6019141815994347520,1.003755,-0.901289,0.9977357,0.0537317445554624,0.9939375,0.9967431,0.005619049,2.713514
4955267001876148224,0.9835486,-2.577425,0.9257247,0.334618402144805,1.014301,1.012585,0.4476128,1.811662
7329725050595766272,1.003732,-0.6033287,1.005144,0.040484048652929,1.000676,1.013814,-0.005422592,2.565856
6066515374458466304,0.9983968,-0.141386,1.001352,0.0186346284141999,1.001054,1.009132,0.07370949,0.7508488
4753578635083575296,1.009101,1.71183,0.8804352,0.480740664200214,1.010747,1.075683,-0.02417564,0.7731637
6058488940011909120,0.96918,-0.5826244,0.9779509,0.058525714434819,1.003181,1.011106,0.2307491,2.371029
302955612151506944,1.000489,-0.05646706,0.9884248,0.0135863210991137,1.003078,1.001595,0.01410484,1.802574
5488822614242291712,1.002329,0.08894539,1.012816,0.0196391297162758,1.019668,0.9827923,0.008569717,2.527449
871582630812870656,0.9864783,-0.3385201,0.9727184,0.0162893558958552,1.004792,1.014641,0.2622643,0.4956103
7687893711183343616,1.000565,-0.4732819,1.001417,0.0645393361566462,1.001169,1.006442,0.09296608,0.8260524
5690344412539449344,1.032192,-0.262394,1.014007,0.132918564934905,1.005118,1.037257,-0.03900528,2.233408
8262101568087322624,1.009071,-0.063591,0.9761255,0.114307162954955,1.002571,0.9961313,0.1410255,1.819598
1704786780726781952,1.005164,-0.3110046,0.9927618,0.0442957061325826,0.9841754,1.018435,-0.009780884,2.201939
7308329651331067904,1.007378,-1.920275,0.9973608,0.0511960584324115,0.9893957,1.014354,0.01338005,2.912622
1425414616279705600,1.006286,-0.07853508,1.008725,0.0314645827557957,1.007767,0.9885604,0.00399971,1.319776
564176771017107456,1.002047,-0.04706573,0.9885566,0.0211176763339929,1.000166,1.012578,0.02051544,2.114498
5193910504485744640,1.003121,-0.7556591,0.9995099,0.0419833661538763,1.000751,1.00655,0.01231384,2.662419
6015787756512014336,1.010034,-0.8667965,0.9976811,0.0690725277248049,0.9996505,1.008686,0.003852844,2.845642
8249491270083997696,0.9989963,0.08216667,1.002348,0.0457704185432621,0.9968731,1.017713,0.01288414,1.195463
2277833564860999680,1.004097,-0.1275349,0.9937478,0.0154358339982696,0.9998648,0.9990369,-0.001878738,1.472343
8329634123984074752,0.9943329,-0.1875477,0.9705688,0.142534475401064,0.9841433,0.9598614,0.1349621,1.797826
4937140457240719360,1.003587,-0.6045723,1.002623,0.0179079107825069,0.9983509,1.007605,-0.01516724,2.547268
1254255573214455808,1.000184,-0.6139469,0.9990638,0.0355261837874184,0.9773263,1.017931,-0.0009326935,1.003789
7926453651966193664,0.9942003,-0.4051991,0.9883215,0.063147110596537,1.003903,1.019813,0.1435413,0.6074381
4347115571721728000,0.9975277,-1.522022,0.9418691,0.124846713347053,0.9338866,1.005456,0.09259415,4.691329
1532360544571385856,1.002015,-0.296381,1.004497,0.00985892001013373,0.9872569,0.9955266,-0.003189087,1.091789
6630695682314006528,1.007465,-0.5996857,1.00237,0.0571823732005871,0.9983321,1.015425,-0.0234127,2.485473
7263417900223623168,0.998924,-0.6520405,0.9912236,0.0374029375368545,0.9977571,1.017446,0.09062958,0.8370427
591208260929873920,0.9992498,-0.1728725,0.9853464,0.0361896768174419,1.008716,1.003303,0.04665947,0.4627098
4468921669423656960,1.004445,-1.960842,0.9965929,0.0781888596252383,0.9864993,1.006951,-0.001876831,1.041031
8235994764349730816,1.011109,-0.3482723,0.9905404,0.17679843857926,0.9951658,0.9973115,0.06391907,1.48746
5351424892406001664,0.9981875,-1.876406,0.9876482,0.0801193340293289,0.9884964,0.9889482,0.1168175,3.197495
6904217895262941184,0.9997206,-3.355577,1.003272,0.0944256132842171,0.9902522,1.029532,0.01988411,1.213865
2846430072326350848,0.9916428,-0.1821537,0.9937197,0.012401452683428,0.9990755,1.028212,0.1651669,0.3739635
894035484395726848,1.002377,-0.1173687,0.9924517,0.0167001745953269,0.9921594,0.9986972,0.006977081,1.463564
4322447483646701568,1.00157,-0.452404,0.993953,0.017017641165378,0.9938427,1.006878,0.02142906,0.7280338
5579007307956285440,1.004479,-0.6751308,0.9940589,0.0239986437403637,0.9853324,1.014322,0.01152039,2.6435
6425621924202344448,0.9990554,-0.4116573,0.98366,0.0357654000898695,0.9956498,1.002653,0.07439423,0.6375874
7480559352517685248,0.9957238,-1.021851,0.9968367,0.0465356348218883,0.9982759,1.013054,0.06494141,2.708488
5312081069104361472,1.003341,-0.4098587,0.9964184,0.0203295340055682,0.9918335,1.010031,-0.002527237,2.400544
5357055491586060288,1.004868,-1.036135,0.9845108,0.0189404964061764,0.9625187,1.014971,-0.00888443,2.209103
5244646918810431488,0.9687271,-2.011106,0.9865248,0.0680318510180462,0.9883404,1.00464,0.08555984,1.564202
7265451996852449280,1.002042,-0.1658478,0.9975655,0.024742005089151,0.9911693,0.9928754,-0.001270294,1.061151
7633864536894402560,0.9967213,-0.8950634,0.9841759,0.141443452271169,0.9783334,1.04722,0.4160728,0.8107067
4344963002362687488,0.9725805,-0.7449398,0.9284949,0.0496638548466454,0.982397,1.050987,0.6359539,0.580097
4547778099332968448,1.016721,0.04865074,0.9787759,0.221241374066634,0.9998207,0.9942536,-0.01682663,1.923091
6601425033582276608,1.003897,-0.3983669,0.9979257,0.0721280877302807,0.9993644,1.013459,-0.01620674,2.14273
5277213915985145856,1.010824,-0.5877819,1.009792,0.139856983231761,1.005459,1.052303,-0.01781082,3.007562
5143125711817207808,1.004083,-0.4627647,1.002537,0.0462792890554708,0.9939114,1.015502,0.05876923,2.533157
7313889332313124864,0.9987289,-0.6242599,1.005298,0.0599101480194497,0.9977282,1.046294,0.05706215,2.489649
6536011793243500544,1.004727,-0.5868301,0.9996103,0.0247386789263068,0.9919651,1.004638,-0.01284981,2.679056
1887058874201040896,1.002888,-0.1692524,0.9931127,0.0462787187631342,1.003137,1.012901,0.005348206,1.939224
897514887045998592,1.099572,-0.03787041,0.9913362,0.0295126036366167,0.9923211,1.002807,0.008058548,2.074044
4269642332121001984,1.016694,-1.099857,0.9942786,0.141521715484069,0.9909844,1.025548,-0.02246284,2.587598
8363443007026558976,1.015257,-0.2784653,0.9906604,0.0512756579781945,1.00496,0.9770123,-0.01885986,1.621665
5795008568000966656,1.007726,-0.4880905,0.9951837,0.139947767543454,0.9984791,0.9931923,-0.007850647,0.5486508
726342366071384064,1.010308,-1.404179,0.9934273,0.0617621129990746,0.981855,1.031768,-0.001070023,2.620246
2579604149532387328,1.004891,0.1393604,0.9978682,0.0449928001964984,0.995743,1.005659,0.02884674,1.345567
4793168475990978560,1.025661,-1.180883,0.9944165,0.158493283994216,0.9998628,1.027923,-0.07019424,2.034468
745424664829913088,1.002144,-0.2303619,0.9851297,0.0107327881573471,0.9931856,0.9964666,0.01530266,1.659845
7309594090122440704,0.9916002,-1.32317,0.9901551,0.108085545590983,0.9889936,1.006215,0.1234684,2.794652
334431607773489152,0.9976047,-0.3011055,0.9861316,0.0145112363334637,1.001236,1.005476,0.04781342,0.4794424
1441236863967848448,1.000859,-4.445482,0.9923916,0.0295482142086355,0.9576737,1.000851,0.01494026,3.427407
5181587728806637568,0.9997842,-0.4406586,0.9858499,0.0697235054195167,0.9984182,1.011606,0.1284103,2.023062
7508681012152037376,1.02012,-0.9512329,0.9999115,0.117557900666564,1.008568,1.010062,-0.006082535,2.406122
5249073552590303232,1.003425,-0.4118805,0.9967122,0.0266675406743829,0.9959537,1.014822,-0.002439499,2.187723
8228193454875406336,1.003062,-0.06698227,0.994417,0.0228793443670793,1.001264,0.9960617,0.008792877,1.511148
5849063861412098048,1.010925,-0.622839,0.9782922,0.115835376004674,0.9995578,1.007876,0.03191948,2.148308
7266623526005305344,0.9850469,-0.7952366,0.9851961,0.0890450206244997,1.000635,1.042085,0.262928,0.826028
5181621813667098624,1.035338,-1.244955,1.005317,0.140887418410413,0.997896,1.016178,-0.02611923,2.366285
6185888250260549632,0.9992911,-1.129301,0.9831511,0.0746038652287963,0.9950382,1.026112,0.04416847,2.570256
5137694674417020928,0.9972546,-0.3862152,0.983527,0.0261540900048689,1.002363,0.9951254,0.1149426,0.5699335
2445457417408899072,1.001232,-0.2148361,0.9980645,0.0146434693812954,0.9865663,1.000826,0.009254456,1.27634
5623961115551264768,1.015974,-0.4646168,0.995794,0.211283195978852,0.9962542,1.01479,0.01311111,1.986446
867001515548633088,0.9577971,0.4489174,0.932532,0.00744300931138414,1.019565,1.05299,0.7373257,0.1687195
4261734370639540224,1.002652,-2.910954,1.008988,0.042075298022808,0.9142812,1.016642,0.02432251,3.766848
1506510196837476352,0.9994607,-0.0293541,0.9980315,0.0199459610991504,0.9974723,0.9975252,0.02196312,1.235946
4229058813099700224,1.004495,-2.565248,0.9915623,0.0283107888855066,0.9387236,0.9955533,-0.005613327,3.891297
1042635581022038016,1.004254,-0.2732105,0.9848927,0.0156888818425864,0.9765369,1.006369,0.006046295,2.164698
442565829784004608,1.005735,-0.2975311,0.9897143,0.0155213935593267,0.9925753,0.9981366,-0.05353928,1.551883
2848700277383522304,0.9440765,0.5857582,0.9187908,0.0112939197738923,1.017715,1.074391,1.039671,0.1921818
1614638923923875840,0.9964904,-0.3752651,0.9885406,0.015810616429065,0.9859494,1.017406,0.07837868,0.4325676
